"timestamp"	"site"	"requests"
"2015-03-16T00:09:55"	"mobile"	1595
"2015-03-16T00:10:39"	"mobile"	1544
"2015-03-16T00:19:39"	"desktop"	2460
"2015-03-16T00:38:11"	"desktop"	2237
"2015-03-16T00:42:40"	"mobile"	1656
"2015-03-16T00:52:24"	"desktop"	2452
"2015-03-16T00:54:16"	"mobile"	1654
"2015-03-16T01:18:11"	"mobile"	1720
"2015-03-16T01:30:32"	"desktop"	2288
"2015-03-16T01:32:24"	"mobile"	1609
"2015-03-16T01:42:08"	"desktop"	2341
"2015-03-16T01:45:53"	"mobile"	1704
"2015-03-16T01:55:37"	"desktop"	2554
"2015-03-16T01:57:29"	"mobile"	1825
"2015-03-16T02:03:16"	"desktop"	2492
"2015-03-16T02:10:32"	"mobile"	1667
"2015-03-16T02:16:45"	"desktop"	2452
"2015-03-16T02:19:32"	"desktop"	2412
"2015-03-16T02:20:16"	"desktop"	2350
"2015-03-16T02:22:08"	"mobile"	1802
"2015-03-16T02:33:45"	"desktop"	2462
"2015-03-16T02:35:37"	"mobile"	1580
"2015-03-16T03:00:16"	"mobile"	1703
"2015-03-16T03:06:29"	"desktop"	2476
"2015-03-16T03:13:45"	"mobile"	1548
"2015-03-16T03:19:58"	"desktop"	2265
"2015-03-16T03:25:01"	"desktop"	2341
"2015-03-16T03:38:30"	"desktop"	2198
"2015-03-16T03:52:43"	"desktop"	2283
"2015-03-16T03:57:22"	"mobile"	1410
"2015-03-16T04:03:29"	"mobile"	1360
"2015-03-16T04:16:58"	"mobile"	1383
