1,159,124,160,253
1,125,145,126,255
1,153,5,154,63
1,152,1,153,168
0,130,64,131,253
1,159,121,160,254
1,100,166,101,222
0,155,53,156,255
0,128,73,129,253
1,155,178,156,255
0,154,46,155,105
0,152,56,153,105
1,130,7,131,176
0,155,21,156,176
1,151,68,152,45
0,125,29,126,170
0,153,203,154,254
1,98,64,99,191
1,125,26,126,240
0,155,62,156,91
1,157,42,158,228
1,128,62,129,254
0,154,28,155,195
0,123,8,124,76
0,127,68,128,254
1,157,85,158,255
1,126,94,127,132
1,124,32,125,253
1,129,39,130,254
0,123,59,124,55
1,128,58,129,139
1,129,28,130,247
0,156,13,157,6
0,127,28,128,164
0,129,105,130,255
0,125,22,126,183
1,155,114,156,206
1,127,73,128,253
1,120,85,121,253
1,126,15,127,200
0,182,32,183,57
0,127,42,128,235
1,156,202,157,253
1,156,73,157,253
1,124,111,125,255
0,99,70,100,255
1,124,29,125,197
1,159,31,160,210
1,131,159,132,255
0,153,92,154,191
1,128,53,129,250
0,122,63,123,176
0,153,12,154,136
1,128,255,129,253
0,151,23,152,167
1,130,24,131,150
0,125,120,126,253
1,127,155,128,253
0,101,88,102,127
